description,description_short,variable,var_name,api_id,var_level,family_var,family_name,family_order,processing,source,benchmarked_ctf,benchmark_static_family_aggregate_download,benchmark_dynamic_indicator,benchmark_dynamic_family_aggregate,rank_id,etl_source,indicator_order
Social protection coverage — total population (%),Social Protection Coverage (%),WB_CSC_PER_ALLSP_COV_POP_TOT,Beneficiaries of social safety net programs,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,1,wb_csc,1
Learning poverty — % of children unable to read by age 10,Learning Poverty (%),WB_CSC_SE_LPV_PRIM,Students supported with better education,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,2,wb_csc,2
UHC service coverage index (0–100),UHC Coverage Index,WB_CSC_SH_UHC_SRVS_CV_XD,"People receiving quality health, nutrition & population services",,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,3,wb_csc,3
Debt distress risk rating,Debt Distress Risk,WB_CSC_FI_DEB_RISK,Countries implementing debt sustainability reforms,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,4,wb_csc,4
Tax revenue as % of GDP,Tax Revenue (% GDP),WB_CSC_FI_TAX_GD_ZS,Countries with low tax-to-GDP that increased collections,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,5,wb_csc,5
Total GHG emissions — all gases (MtCO₂e),Total GHG Emissions (MtCO₂e),WB_CSC_GHG_All_GHG,Net greenhouse gas emissions,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,6,wb_csc,6
Climate vulnerability index,Climate Vulnerability Index,WB_CSC_EN_CLM_VULN,Beneficiaries with enhanced resilience to climate risks,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,7,wb_csc,7
Terrestrial & marine protected areas (% of total area),Protected Areas (%),WB_CSC_ER_PTD_TOTL_ZS,Hectares of terrestrial & aquatic areas under conservation,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,8,wb_csc,8
Access to basic drinking water (% of population),Drinking Water Access (%),WB_CSC_SH_H2O_BASW_ZS,People provided with basic drinking water as a percentage of the population,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,9,wb_csc,9
Access to basic sanitation (% of population),Sanitation Access (%),WB_CSC_SH_STA_BASS_ZS,People provided with basic sanitation as a percentage of the population,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,10,wb_csc,10
Access to basic hygiene (% of population),Hygiene Access (%),WB_CSC_SH_STA_HYGN_ZS,People provided with basic hygiene as a percentage of the population ,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,11,wb_csc,11
Prevalence of moderate or severe food insecurity (%),Food Insecurity (%),WB_CSC_SN_ITK_MSFI_ZS,People with strengthened food & nutrition security as a percentage of the population,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,12,wb_csc,12
% of rural population within 2km of an all-season road,Rural Road Access (%),WB_CSC_SP_ROD_R2KM,People benefiting from improved transport access as percentage of the rural population,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,13,wb_csc,13
% of population with access to electricity,Electricity Access (%),WB_CSC_EG_ELC_ACCS_ZS,People provided with access to electricity as a percentage of the population,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,14,wb_csc,14
% of population using the internet,Internet Usage (%),WB_CSC_IT_NET_USER_ZS,People using broadband internet as a percentage of the population,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,15,wb_csc,15
UN E-Government Development Index,E-Government Index,WB_CSC_IT_GOV_EGOV_XQ,People using digitally enabled services,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,16,wb_csc,16
Female employment-to-population ratio (%),Female Employment (%),WB_CSC_SL_EMP_WORK_FE_ZS,Gender equality — Total beneficiaries (percentage of the female population),,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,17,wb_csc,17
Female account ownership at financial institution (%),Female Account Ownership (%),WB_CSC_FX_OWN_TOTL_FE_ZS,Gender equality — Economic opportunities sub-indicator (percentage of the female population),,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,18,wb_csc,18
Account ownership at a financial institution — total (%),Total Account Ownership (%),WB_CSC_FX_OWN_TOTL_ZS,People & businesses using financial services (% of the population),,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,19,wb_csc,19
Employment-to-population ratio (%),Total Employment (%),WB_CSC_SL_EMP_WORK_ZS,More and better-paid jobs ,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,20,wb_csc,20
Total forcibly displaced persons,Displaced Persons,WB_CSC_SM_POP_FDIP,Displaced people & host communities provided with services,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,21,wb_csc,21
Private investment as % of GDP,Private Investment (% GDP),WB_CSC_NE_GDI_FPRV_ZS,Total private capital enabled / mobilized,,indicator,vars_other,(other indicators),,,World Bank Corporate Scorecard,No,No,No,No,22,wb_csc,22
